Entity,Label,Count of NER
nick time,PERSON,2
couple weeks ago,DATE,3
abc,ORG,31
newswashington,PERSON,2
one day,DATE,37
23 million,CARDINAL,9
june 14th 1946,DATE,1
70 years date,DATE,1
june 14th 2016,DATE,1
another 7 months,DATE,1
january 14th 2017,DATE,1
another 7 days,DATE,1
january 21st 2017,DATE,1
january 21st,DATE,1
january 20th,DATE,2
year 5777,DATE,1
alyson kelly,PERSON,1
glenn beck,PERSON,6
cheryl,PERSON,10
1980s half,DATE,1
approximately 25,CARDINAL,1
melania white house,ORG,1
laura bush,PERSON,6
monday nov 10 2008,DATE,1
hillary misterdawg,PERSON,1
paul joseph watson,PERSON,8
hollywood,GPE,3
maryland,GPE,19
earlier week,DATE,36
wfaa,ORG,2
venezuela dystopian,FAC,1
september,DATE,74
38 billion,CARDINAL,4
the us army corps,ORG,1
21,CARDINAL,42
thousands jobs year,DATE,1
last night,TIME,43
nicholas maduro,PERSON,1
electoral council,ORG,1
npr,ORG,10
venezuela war us news,ORG,1
columbian,NORP,1
charlotte,GPE,4
mel,PERSON,1
october 30 2016,DATE,38
every day,DATE,50
shiite,NORP,5
west city,GPE,5
week half,DATE,3
days hours,TIME,1
sunni arab,NORP,10
last 5,DATE,9
millions dollars,MONEY,42
1041 2,DATE,1
monday daily,DATE,1
atts house,ORG,1
att us,ORG,1
medicaid,ORG,10
warner face vocal opposition,ORG,1
michael krieger libertyblitz,PERSON,2
october 24 2016,DATE,2
aclu,ORG,12
christopher soghoian att,PERSON,1
july 2008,DATE,1
year sprint,DATE,1
18 months,DATE,13
2011,CARDINAL,47
dea,ORG,19
know att police across america,ORG,1
metadata,PERSON,4
1 million year,DATE,4
access harris county texas,ORG,1
houston,GPE,11
77924,DATE,1
four years later,DATE,2
940000,CARDINAL,1
decade 911,DATE,1
billions,CARDINAL,37
1987,DATE,16
trillions,CARDINAL,15
monthly,DATE,42
nearly 50,CARDINAL,1
november 3 2016,DATE,45
102616,DATE,6
september 2015,DATE,11
qatar,GPE,87
jordan israel,PERSON,3
october 18,DATE,10
october 26,DATE,15
defense ministry,ORG,4
igor konashenkov,PERSON,7
past eight days,DATE,2
10km,QUANTITY,2
24 hours,TIME,43
dayrussia syrian,PERSON,1
sayingwe,ORG,1
syrians,NORP,51
firstly,ORDINAL,6
many hours,TIME,1
onemonth,DATE,19
10 days,DATE,27
fifteen,CARDINAL,6
october 18 2016,DATE,5
2 dr michel,QUANTITY,1
canadian,NORP,99
islamic,NORP,196
persian gulf,LOC,11
recruitment mujahideen,PERSON,1
afghanistan,GPE,167
thousands billions dollars,MONEY,4
john,PERSON,40
7th,ORDINAL,10
john f hylan mayor,PERSON,1
19181925,DATE,2
daniel k,PERSON,1
asianamerican,NORP,1
david steele,PERSON,2
us marine corps,ORG,7
131,CARDINAL,2
11,MONEY,1
william jenner,PERSON,4
wilson,ORG,1
eric,PERSON,22
john f kennedy,PERSON,1
andrew young,PERSON,2
