,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_length,consequents_length
502,"frozenset({'new', 'say'})",frozenset({'state'}),0.31567116249197175,0.4733461785484907,0.20905587668593448,0.6622583926754831,1.3990994808625878,0.05963413824239999,1.5593394773699805,0.41683840548526196,2,1
175,frozenset({'way'}),frozenset({'make'}),0.33622350674373797,0.5061014771997431,0.23795761078998073,0.7077363896848138,1.3984080694660597,0.06779439735769718,1.689907690757742,0.4292124751982671,1,1
174,frozenset({'make'}),frozenset({'way'}),0.5061014771997431,0.33622350674373797,0.23795761078998073,0.4701776649746193,1.3984080694660597,0.06779439735769718,1.2528284471519389,0.5768414734946801,1,1
536,frozenset({'state'}),"frozenset({'people', 'time'})",0.4733461785484907,0.3114964675658317,0.20616570327552985,0.43554952510176387,1.3982486816153534,0.05872004072188952,1.2197766908749565,0.5408099688473519,1,2
533,"frozenset({'people', 'time'})",frozenset({'state'}),0.3114964675658317,0.4733461785484907,0.20616570327552985,0.6618556701030928,1.3982486816153534,0.05872004072188952,1.5574823378291585,0.4136792672153251,2,1
550,"frozenset({'year', 'say'})",frozenset({'state'}),0.3233782915863841,0.4733461785484907,0.2138728323699422,0.6613704071499503,1.3972235060142097,0.06080295382198775,1.5552504346090024,0.420168151065161,2,1
555,frozenset({'state'}),"frozenset({'year', 'say'})",0.4733461785484907,0.3233782915863841,0.2138728323699422,0.451831750339213,1.3972235060142097,0.06080295382198775,1.2343321759921657,0.5398135940818867,1,2
447,frozenset({'state'}),"frozenset({'people', 'make'})",0.4733461785484907,0.3179190751445087,0.21001926782273603,0.44369063772048845,1.3956087331935363,0.0595334885154124,1.2260820527280416,0.5382412172745581,1,2
442,"frozenset({'people', 'make'})",frozenset({'state'}),0.3179190751445087,0.4733461785484907,0.21001926782273603,0.6606060606060605,1.3956087331935363,0.0595334885154124,1.5517478667767681,0.4155911470481522,2,1
286,frozenset({'world'}),frozenset({'year'}),0.3448940269749518,0.44315992292870904,0.21290944123314065,0.61731843575419,1.3929924702453245,0.060066230820348926,1.4551003473833735,0.43064945435187674,1,1
287,frozenset({'year'}),frozenset({'world'}),0.44315992292870904,0.3448940269749518,0.21290944123314065,0.48043478260869565,1.3929924702453245,0.060066230820348926,1.2608734208850298,0.5066464168845609,1,1
470,frozenset({'make'}),"frozenset({'say', 'time'})",0.5061014771997431,0.36095054592164416,0.2543352601156069,0.5025380710659898,1.392262947775349,0.07165765562860912,1.2846198209534294,0.5704509332597761,1,2
